,detail
0,اول عباسی، به طرف منصور
1,چایکنار، بعد از کارواش شهرداری، نرسیده به بلوار آذربایجان
2,پل سنگی، چایکنار
3,ولیعصر، فلکه بزرگ
4,ولیعصر، خیابان شریعتی، نرسیده به میدان بهارستان، طبقه فوقانى قنادى کریمی
5,ولیعصر، نگین پارک
6,بلوار 29 بهمن، اول جاده شاهگلی، روبه‌روی راهنمایی
7,خیابان شریعتی جنوبی،نبش کوچه آرام اول
8,رشدیه، ابتدای جاده سلامت
9,خيابان شريعتي(شهناز)، خيابان والمان
10,اول جاده ایل گلی، الهی پرست، نپش ۲۴ متری
11,شریعتی جنوبی، کوچه‌های سنگی
12,اتوبان پاسداران،50متر بالاتر از لاله پارک
13,رشديه ، الهيه،كوى سبلان
14,خیابان ولیعصر ، فلکه بزرگ ، مرکز خرید میلاد نور
15,پارک ائل گلی، عمارت شاه گلی
16,خیابان ولیعصر ، پارک ولیعصر ، مجتمع تفریحی
17,وليعصر ، فروغي ، خيابان شيخ محمد خياباني ، كافه ١٣
18,ميدان فهميده، مجتمع لاله پارك، طبقه1
19,انتهای کوی قائم، نرسیده به تقاطع پليس
20,مرکز تجاری روشا، طبقه 5
21,خیابان خرمشهر، پشت باسکول، جنب بانک پارسیان
22,میدان هنرستان، خیابان سوله، کوچه ابوذر غفاری، پلاک 1/2
23,زنجان خیابان سعدی شمالی ابتدای خیابان بهار روبروی سیماران پلاک ١٤١
24,خیابان دانشکده، مرکز خرید دانشکده، طبقه دوم
25,خیابان شیخ شلتوت، نرسیده به میدان تره بار، روبروی بانک سپه
26,خیابانِ‌فرهنگ، روبروی‌ادارهٔ‌آموزش‌وپرورش
27,شهرک مدنی،فازدو،سه راه آپارتمان ها،جنب باشگاه سلطان
28,جلفا، روبروی کلیسای وانک
29,جلفا،روبروی کلیسا وانک
30,ميدان انقلاب،ابتداي چهارباغ عباسي،كوچه طاووس خانه،جنب مادي نياصرم
31,میدان فیض، خیابان میر، روبرو سازمان هلال احمر
32,بلوار سعدی، جنب فروشگاه هاکوپیان
33,خیابان سپه، کوچه کازرونی
34,خیابان آمادانا اول روبه روی معاونت درمان
35,مبارکه، خیابان منتظری، پاساژ طلا، زیرزمین
36,خيابان بوستان سعدی، حدفاصل پل فلزی و پل مارنان، جنب پوشاك زاور، طبقه زيرين گل آريسا
37,خیابان شریعتی غربی ، چهارراه محتشم کاشانی ، جنب آموزشگاه حافظ
38,نظر میانی، کوچه کلیسا وانک
39,پارک جنگلی ناژوان،ایستگاه ۲ تله سیژ
40,انتهای خیابان حافظ ، کوچه شماره ۳
41,چهارباغ بالا روبرو زمزم مجتمع پارسیان انتهای ایوان
42,خ سپه شرقی مقابل اداره دارایی مرکزی تیمچه مثقالی
43,خاقانی ، کوچه هوانس شیراز
44,خیابان کمال اسماعیل، طبقه زیرین پل جوئی
45,خیابان حکیم نظامی.جنب خیابان مهرداد
46,خيابان حكيم نظامي،كوچه سنگتراشها،بعد ازآبنما،نبش کوچه ۱۷
47,میدان نقش جهان ، بازارچه چهار سوق مقصود
48,میدان نقش جهان ،جنب مسجد شیخ لطف الله ، سرای اسپادانا پلاک 37
49,چهار راه فلسطين،ابتداى خيابان استاندارى،سمت چپ،نهر فرشادى غربى پلاک2
50,خیابان چهارباغ عباسی ، رو به روی شیخ بهایی ، مجتمع هشت بهشت ، ورودی سرای هشت بهشت ، طبقه اول
51,میدان انقلاب ، خیابان چهار باغ عباسی ، خیابان مادی نیاصرم (حدفاصل چهار باغ و خیابان پاسداران)
52,خیابان نظر میانی، میدان جلفا ، پلاک هفت، کافه وان.
53,جلفا خیابان حکیم نظامی کوی کلیسای وانک روبروی هتل جلفا
54,خيابان مير،ابتداي خيابان مصلي نبش بن بست آذر
55,میدان نقش جهان ، بازار قیصریه ، پلاک 9
56,خیابان میر ، روبروی بیمارستان سپاهان
57,اصفهان ، سیتی سنتر ، طبقه اول ، واحد cs 110
58,چهارباغ بالا، نبش کوچه رییسی، پلاک 39
59,سیتی سنتر ، طبقه اول ، ورودی 8
60,پاساژ کوروش
61,هتل کیش
62,میدان پردیس، طبقه زیر هتل پارمیس
63,میدان هور
64,انتهای بلوار هنر ، میدان میکا ، روبروی برج مسک.نی میکا
65,جنب کیبل اسکی
66,جاده جهان ، نرسیده به میدان غروب
67,بلوار مروارید ، روبروی مرکز خرید مروارید،  ایوان مروارید ، پلاک 336
68,خیابان فردوسی ، مرکز خرید کیش
69,خیابان فردوسی ، خیابان اعتصامی ، روبروی هتل آبادگران
70,بلوار جمهوری ، خیابان هوشنگ مرادی کوچه شماره ۹
71,خیابان بهمنیار ۲۴، انتهای محوطه پارکینگ
72,خیابان فیروزه ابتدای خیابان پروین اعتصامی غربی
73,خیابان بهمنیار ، بهمنیار 24
74,بلوار جمهوری،  خیابان والفجر جنوبی ، نرسیده به بلوار شهید صدوقی
75,بلوار شیراز،خیابان شهیدان قطبی نژاد (کوچه درختی)،نبش 11
76,خیابان هزار و یک شب کوچه 5 ابتدای کوچه سمت راست
77,بلوار حمزه، بین کوچه 24 و 26
78,خیابان زریسف ،خیابان برزو آمیغی ،درب سوم ،سمت راست
79,جهانشهر، کنار گذر پل روحانی، نرسیده به میدان جمهوری، نبش کوچه میثم
80,عظیمیه، بلوار شریعتی، طبقه چهارم
81,مهرشهر، بلوار شهرداری، خیابان صد و نه، پلاک422/2
82,جهانشهر، بلوار ماهان شرقی، خیابان استانداری شمالی
83,گوهردشت،بلوار آزادی،بین فلکه اول وسه باندی
84,گوهردشت، خیابان  اصلي گوهردشت، خیابان داریوش
85,گوهر دشت، بلوار رستاخیز، نبش خیابان 12
86,گوهردشت،خیابان سیزدهم غربي(فاز٢)، نرسیده به رستاخیز
87,خیابان گوهردشت، بلوار رستاخیز، نبش خیابان دهم شرقی
88,عظیمیه ، میدان ‌طالقانی ، به‌سمت بام نبش گلستان‌۲۰
89,بام،عظيميه، بلوارطالقانی شمالی، نبش گلستان۲۰
90,مهرشهر، بلوار شهرداری، چهارراه مسیح پاکدل، جنب مرکز خرید پاتریس
91,مهرشهر، بلوار شهرداری، نبش شهرداری 205
92,عظیمیه ، بلوار شریعتی ،خیابان نیک نژاد شمالی
93,میدان اسبی، بلوار استقلال شمالی، نبش کوچه میر زنده دل
94,مهرشهر، بلوار شهرداری، نبش خیابان 205
95,جهانشهر، نبش میدان مدنی، نبش خیابان مهران
96,عظیمیه، بالاتر از میدان استقلال( میدان اسبی)
97,جهانشهر،میدان هلال احمر،خیابان هلال احمر،نبش کوچه سنبل
98,جهانشهر، استانداری شمالی
99,بلوار شورا جنوبی، کافه رستوران کهن دیاران
100,خیابان هلال احمر، نبش فتوح
101,عظیمیه، بلوار طالقانی شمالی، بعد از پل آزادگان، نبش خیابان حسینی، برج میلاد، طبقه 2
102,مهرشهر، چهارباندی، فاز 3، نبش خیابان 307، پلاک 298
103,مهرشهر، بلوار شهرداری، خیابان 341
104,کرج ، خیابان درختی ، میدان عطار
105,مهرویلا، ابتدای خیابان درختی، جنب بانک ملت
106,مهرشهر، بلوار شهرداری، انتهای خیابان 109
107,گوهردشت خيابان هشتم غربي (فاز دوم ) كاشي 18
108,۴۵متری گلشهر،نبش کوکب غربی
109,عظیمیه، میدان طالقانی به سمت بام، نبش ندا شمالى
110,كرج_مهرشهر بلوار ‎شهرداري(چهارباندي) بين خيابان 213-215
111,کرج، عظیمیه، میدان بهارستان
112,‎كرج ميدان جمهوري بلوار ماهان غربي بعد از تالار لوتوس خيابان ارغوان كوچه بهار شرقي
113,کرج،فلکه اول گوهردشت،خیابان دوم شرقی
114,مهرشهر،خ شهرداری،خ صد ،بین خ 116و117
115,مهرشهر ،مسیح پاکدل شرقی
116,فلکه اول گوهردشت،خیابان آرش،بعد از درب ورودی پارکینگ نیکامال
117,گوهردشت،چهارراه ملك شاه،روبروي پاساژ ملاصدر، نبش پنجم شرقي
118,جهانشهر، میدان مدنی، ابتدای خیابان هلال احمر
119,ابتدای جاده مشکین دشت، رزکان نو، مجتمع اکومال
120,۴۵ متری گلشهر،ابتدای بلوار محمدی
121,رجایی شهر روبروی دانشگاه آزاد
122,کرج- جهانشهر-بلوار مولانا
123,جهانشهر بلوار مولانا بعد از کسری شمالی
124,"بلوار موذن,خیابان پیروزی جنوبی, نبش نوزدهم"
125,میدان والفجر،ابتدای بلوار سرداران
126,بلوار ارم ، سه راه شهرداری ،فودکورت مجتمع پاسارگاد
127,بلوار رستاخیز، نبش هفتم غربی، جنب فست فود بکسمات
128,مهرشهر،بلوار شهرداری،نبش خیابان109
129,كرج ، عظيميه ، ميدان بهارستان
130,جهــانشهــر، خيابان استاندارى، روبروي كوچه زُهـــــره
131,عظیمیه ، بلوار استقلال ، ضلع شمالی میدان اسبی
132,گوهر دشت،خیابان 13غربی ،فاز 2،پلاک 68
133,عظیمیه، ضلع جنوب شرقی میدان گلستان
134,گوهردشت خیابان هشتم شرقی.پلاک ٧٦
135,عظیمیه،میدان اسبی،ضلع شمالی پارک ایران زمین
136,کرج،عظیمیه،بالاتراز میدان استقلال،نبش کوچه الهام
137,گوهردشت،خیابان دوازدهم شرقی طبقه زیرین پاساژ سرخه
138,انتهای بلوار دانشگاه، خیابان پروفسور خشنودی، جنب زمین چمن
139,رسالت شمالی چهارراه پردیس ساختمان ثبت شرکت(ریاضیات خیام)
140,داماهی ، بین گوهران ۱۳ و ۱۵ بعد از قارچ کوچولو
141,بلوار ساحلی ،  نبش کوچه ساحل ۱۰، جنب مبل کوروش
142,خیابان اتوبوسرانی ، فروزان 27
143,خواجه عطا بلوار وحدت جنوبی به سمت دریا  ، بعد از بازار ماهی فروشی،  روبروی کارواش پویا
144,خيابان اتوبوسرانى جنوبى ، انتهاى كوچه جنت
145,خیابان رسالت جنوبی بلوار12فروردین ،به طرف ۹ دی
146,سیم بالا ، روبروی فرمانداری
147,خیابان بهار بعد از پارک فاطمی
148,مشهد، بلوار وکیل آباد، بین امامت 6 و 8
149,بلوار وکیل آباد ، بلوار امامت ، بین امامت ۶ و ۸
150,بزرگراه کلانتری بعد از میدان استقلال هتل پردیسان
151,سه راه فلسطین.دستغیب 10
152,"كوثر شمالي ١ ، لاله ١ پلاك ١
( وكيل اباد ١٠ ، لاله ، پلاك ١"
153,نبش کوهسنگی ۲۵
154,وكيل اباد 15 ، نبش شهيد قاسمي 1
155,احمد آباد ، بلوار ملاصدرا ، ملاصدرا 4
156,بلوار سجاد ، خیابان بهار 2 ، پلاک 8
157,بلوار خیام ، خیام 10 ، خیابان زنبق
158,بزرگراه کلانتری ، مجموعه توریستی آبادگران ، ایران برج 1 ، B1
159,بلوار پیروزی ، بین پیروزی 79 و 81 ، شماره 79
160,هاشمیه 91/5 ، خیابان سوم سمت چپ ، قطعه آخر
161,خیابان سلمان فارسی ، نرسیده به خیابان فلسطین ، نبش صفا
162,بلوار سجاد ، خیابان حامد جنوبی 9 ،  پلاک 81
163,خیابان کریمخان زند ،خیابان انوری
164,بلوار ستارخان، روبه رو خردمند
165,معالی اباد، مجتمع اوتانا یک، باشگاه الماس
166,بلوار آزادی، چهارراه باغ تخت
167,پل زرگری به سمت فلکه دانشجو، روبروی ابیوردی ۳،جنب اتوکوروش
168,خیابان قصرالدشت، حدفاصل ولیعصر و عفیف آباد ، کوچه ۵۹ ، روبروی ۵۹/۴
169,حدفاصل پارامونت و باسکول نادر، ذوالنوار شرقی، روبروی کوچه ۲، ورودی پارکینگ زیتون
170,شیراز، خیابان جهادسازندگی، حدفاصل چهارراه چنچنه و فلکه گاز، نبش کوچه ۳
171,بلوار چمران، بلوار نیایش
172,قدوسى غربى،خيابان محلاتى،نبش كوچه ٤
173,بلوار صنایع روبروی ورودی گلدشت حافظ
174,بلوار جدید قرآن،نبش کوچه 17
175,پشت ارگ کریمخان
176,بازار وکیل ،  مجموعه زندیه ، بین حمام و مسجد وکیل
177,خيابان ٢٢ بهمن(شاهپور سابق)،روبروي كوچه ٥
178,معالی آباد ، نبش خیابان بهاران  ، مجتمع آرین
179,معالی آباد، پزشکان، مجتمع الماس شهر
180,خیابان فردوسی ، روبروی هتل آرين ،  كاشی 194
181,قصرالدشت، حدفاصل سه راه برق و ملاصدرا، كوچه ٢٥ قصرالدشت
182,ميدان احسان ، بولوار پرستار،  ساختمان هاي مسكوني دراك ، بلوك اركيد
183,خیابان هدایت غربی کوچه 8
184,پل معالی آباد بطرف دینکان،بلواربهشت،روبروی مجتمع ارکیده
185,خيابان دانشگاه ، پلاک 62
186,عفیف آباد،مجتمع تجاری حافظ طبقه اول
187,خيابان فردوسي ،نبش خيابان رودكي،كافه نقاشي
188,کوچه ۳۶ قصردشت ، روبروی عفیف آباد نبش ۳۶/۳ ، پلاک ۱۹۳
189,بولوار نيايش ، مجتمع هومهر
190,حافظیه ،روبروی باغ جهان نما
191,شهرک گلستان ، غدیرشمالی ، نبش گل رز‏
192,خیابان جهاد سازندگی بالاتر از چهار راه چنچنه
193,بيست متری سينما سعدی ، هدايت غربی، نبش كوچه 4
194,معالی اباد ، پزشکان هتل الیزه
195,نبش میدان صفاییه
196,سالاریه،میدان میثم،خیابان یاسمن،پلاک ۳۱۴
197,کیلومتر 5 اتوبان قم-تهران، گردش سرای مهر و ماه
198,ابتداي ٤٥ متري صدوق ميدان مفتح
199,خيابان صدوق ،  بلوار بوعلي ، ميدان شهيد دستغيب
200,سالاريه ، خيابان ژاله ، پلاک ژاله
201,٤٥ متري صدوق ، ٢٠ متري كوكب
202,45 متری صدوق، ابتدای خیابان حافظ، میدان میرقیصری
203,زیتون، کارمندی، خ زیتون، نبش فاضل
204,فلکه ملی،راه جنب مجتمع فرهنگی مخابرات
205,کیانپارس،خیابان ۹ غربی،فاز۳،پلاک ۱۵۱
206,گلستان، خ فروردین، بین بیمارستان و پارک قوری، مجتمع تفریحی ساحل
207,فرهنگ شهر ، رو به روی دانشگاه ازاد
208,ساحلي كيانپارس
209,خیابان زند، نبش کوچه قدس
210,كيان اباد، بين ٦ و ٧ شرقي
211,ساحلى شرقى عامرى ،روبروى خرم كوشك
212,کیانپارس ،خیابان سیزدهم شرقی
213,كيانپارس بين خيابان ١٩و٢٠غربى
214,خیابان اصلی کیان آباد، نبش خیابان 5 غربی
215,کیانپارس،  انتهای خیابان 6 شرقی
216,کیانپارس ، خیابان ایدون ، بین خیابان ۱۸ و ۱۹
217,کیانپارس،طبقه ی فوقانی سینما هلال
218,کیانپارس ، 17 شرقی ، بعد از ورودی بیمارستان آریا ، جنب سوپر مارکت ایران
219,کیانپارس ، خیابان ۷ شرقی، پلاک ۳۸
220,خیابان کیانپارس، خیابان موحدین شرقی، برج کوثر
221,کیانپارس ، نبش خیابان 11 شرقی ،  طبقه فوقانی رستوران سنتی هزار دستان
222,اهواز، ملی راه ، خیابان مهران پلاک 64
223,میدان راه اهن،ابتدای شریعتی
224,سه راه ارامنه انتهای خیابان نیسانیان
225,شهر صنعتی میدان پامچال
226,خیابان دانشگاه ، روبروی دانشگاه سما
227,ابتداي خيابان ملک ، سينما عصر جديد
228,خیابان عباس آباد، خیابان میثم (هلال احمر) ساختمان ۹۶
229,بلوار آیت اله خامنه ای ، روبروی هتل مرمر ، مجتمع نیایش ، جنب درب ورودی مجمتع
230,بلوار اسد آبادی، مجتمع تجاری دیاکو
231,میدان جانبازان ب سمت نوروزیان انتهای خروجی پل مطهری ب نوروزیان
232,خیابان فردوسی ، بالاتر از میدان عدل، جنب کوچه شهاب
233,پونک انتهای بلوار نخبگان نرسیده به مصیب مرادی جنب فهیم هشتم
234,سعدالسلطنه ، سراي قيصريه ، حجره ٤٦
235,فردوسی شمالی ، مرکز خرید نارون ، واحد  44
236,خیابان امام ، کاروانسرای سعدالسلطنه ، بازار وزیر ، حجره ی سی و چهار
237,خیابان ولیعصر،ضلع جنوب شرقی میدان ولیعصر جنب ورودی B پاساژ تجارت ایرانیان
238,خیابان انقلاب،بین خیابان وصال و قدس،جنب سینما سپیده،کوچه اسکو شماره ۸
239,شهران بین فلکه اول و دوم، رو به روی بانک سپه، رستوران شهران
240,خیابان نوفل لوشاتو، کوچه هانری کوبن، نبش صائب پلاک ۵
241,میدان فاطمی خیابان شهید گمنام ابتدای جهانمهر پلاک ۲۱
242,بهار شمالي، خيابان وركش، نرسيده به كوچه سياسي، لتوكافه
243,خیابان شهید مطهری، نرسیده به خیابان سهروردی، بین اورامان و سنندج، ساختمان120 طبقه منفی یک، کافه سی نود
244,میدان فردوسی به طرف شرق خیابان امیرسلیمانی خیابان مهنا پلاک2، کافه شانیا
245,یوسف آباد ، خیابان اسدآبادی، خیابان هجدهم، پلاک33
246,زعفرانیه، آصف، انتهای کوچه حامد، نبش باغستان ششم
247,مطهری- خیابان قائم مقام فراهانی- ابتدای خیابان مشاهیر- پلاک 14
248,ولنجک ،بلوار دانشجو،خیابان گلریزان، بالاتر از میدان گلریزان
249,میدان ولیعصر، ضلع شمال شرقی میدان، جنب بانک سپه
250,یوسف آباد، خیابان اسد آبادی بین 19 و 21
251,کریم خان زند، خیابان آبان جنوبی، پلاک 38، طبقه همکف
252,فرشته، خیابان مریم شرقی، خیابان امین، مجتمع smp
253,خیابان شریعتی، دوراهی قلهک، خیابان بصیری، پلاک 19
254,سهروردی شمالی، پایین‌تر از بهشتی، خیابان میرزای زینالی، پلاک ۴۲
255,کریمخان- خیابان سنایی- خیابان 18- پلاک28
256,خیابان ظفر شرقی، خیابان فرید افشار، بلوار آرش شرقی، پلاک ۴۴
257,میدان انقلاب، ابتدای کارگرشمالی، کوچه مجد، پلاک 12
258,کریمخان،ابتدای خیابان ماهشهر،پلاک ۱۱۸
259,فرمانیه، خیابان لواسانی، مابین آقایی و وطن پور، پلاک 152
260,خيابان مطهري،خيابان لارستان،نبش كوچه پور فلاح
261,شهرک غرب، بلوار دریا، خیابان گلها، نبش توحید 3،پلاک 10
262,نیاوران بین پمپ بنزین و جماران نبش کوچه ستایش
263,خیابان پاسداران ، بین گلستان 8و9
264,شهرك غرب،خيابان ايران زمين شمالى،رو به روى بيمارستان بهمن،جنب فرهنگسراى ابن سينا
265,جردن، ناهید غربی، پلاک 14/1
266,خیابان فداییان اسلام صدمتر مانده به میدان اصلی شهرری
267,خیابان یوسف آباد ، بین خیابان 62 و 64
268,گیشا، انتهای علیایی غربی، دست راست جوادی،پلاک 55
269,انتهاى همت غرب ابتداى اتوبان خرازى خروجى درياچه ميدان موج خيابان موج،بلوار صدف،مجموعه تجارى بام لند
