,name_en,name_fa,city_id,price_class
0,roli_bastani,رولی (تبریز),0,2
1,lalehzar_tabriz,لاله زار (تبریز),0,2
2,saniz,سانیز,0,2
3,mosbat_tabriz,مثبت (تبریز),0,2
4,asa_cafe,آسا,0,2
5,kolbeh_tabriz,کلبه (تبریز),0,2
6,sansevan_tabriz,سن سون (تبریز),0,2
7,geramaphone_tabriz,گرامافون (تبریز),0,2
8,badas_tabriz,باداس (تبریز),0,2
9,urbancafe-tabriz,اوربان,0,1
10,roz_tabriz,رز (تبریز),0,2
11,coffee-pedar,قهوه پدر,0,1
12,cafe_pizza,کافه پیتزا8,0,2
13,lounge-tabriz,لانژ,0,2
14,paeez81,پاییز 81,0,1
15,emarat,عمارت,0,2
16,Amirchocolateplus,امیر شکلات پلاس,0,2
17,13takeaway,سیزده,0,2
18,Rex,رکس,0,2
19,mescafe_zangan,مس کافه (زنجان),1,2
20,sarozangan,سارو (زنجان),1,2
21,soole_zangan,سوله (زنجان),1,2
22,armando_zanjan,آرماندو (زنجان),1,2
23,zhi,ژی,1,2
24,cococafe_uromia,کُ کُ (ارومیه),2,2
25,abshar_oromieh,آبشار (ارومیه),2,2
26,zhavcafe-hamedan,ژاو,3,2
27,moon,مون,3,2
28,arca,آرک آ,4,2
29,emarat_simon,عمارت سیمون,4,3
30,saad_abad,سعدآباد,4,2
31,nikan_isfahan,نیکان (اصفهان),4,2
32,parkland_isfahan,پارک لند (اصفهان),4,2
33,dastan_esfahan,دستان (اصفهان),4,2
34,iranian_esfahan,ایرانیان,4,2
35,radio_esfahan,رادیو (اصفهان),4,2
36,ribar_esfahan,ریبار (اصفهان),4,2
37,sense_esfahan,سنس,4,2
38,jinergelato_esfahan,ژینر جلاتو (اصفهان),4,2
39,nazhland,ناژلند,4,2
40,hamdamo-saltane-esfahan,خانه تاریخی همدم السلطنه,4,2
41,cafekaghaz-esfahan,کاغذ,4,2
42,messo_qali,مس و قالی,4,2
43,toranj_isfahan,ترنج (اصفهان),4,2
44,farhang_esfahan,فرهنگ (اصفهان),4,2
45,tatilat_esfahan,تعطیلات (اصفهان),4,2
46,mystar,ستاره ی من,4,2
47,Sharbatsarayeroozegarnow,شربت سرای روزگار نو,4,2
48,Sharbatsarayeroozagar,شربت سرای روزگار,4,2
49,plaque2,پلاک دو,4,2
50,Teatr,تئاتر,4,1
51,pastoisfahan,پستو,4,2
52,One,وان,4,2
53,Sharbatkhanefiroo,شربت خانه فیروز,4,2
54,Hermes-brewbar,هرمس (مصلی),4,2
55,Narvan,نارون,4,1
56,Teendounat,تین دونات,4,1
57,firstcupiran,فرست کاپ,4,2
58,laberitchaharbagh,بستنی لابریت (چهار باغ),4,1
59,terraceesfahan,تراس(اصفهان),4,1
60,lavazza,لاواتزا,5,2
61,navado_shish_kish,96 (کیش),5,2
62,foodsun_kish,فودسان(کیش),5,2
63,cafeananas-kish,آناناس,5,2
64,micafe-kish,میکافه,5,2
65,tehroon-cafe-kish,طهرون,5,2
66,padide-shandiz-kish,پدیده شاندیز,5,4
67,honarmand-kish,هنرمند,5,2
68,viuna-kish,ویونا (کیش),5,2
69,mirmohanna,میرمهنا,5,3
70,diao_kerman,دیاکو (کرمان),6,2
71,5-30,پنج و نیم,6,2
72,royal_cafe,رویال,6,1
73,ritooncafe-kerman,ریتون,6,2
74,pianocafe-kerman,پیانو,6,2
75,sharbatchiyan,شربت چیان,6,2
76,roz-kerman,رز,6,2
77,barista-kerman,باریستا,6,2
78,keykhosro,کیخسرو,6,1
79,1stclass,فرست کلاس (جمهوری),7,2
80,mehradhal_karaj,مهراد,7,2
81,lukas_mehrshahr,لوکاس,7,2
82,emarat_asemani,عمارت آسمانی,7,2
83,kavich_gohardasht,کاویچ (گوهردشت),7,2
84,venhan_gohardasht,ونهان (گوهردشت),7,2
85,shad_karaj,شاد (کرج),7,2
86,amooghobad_karaj,عمو قباد (کرج),7,2
87,anan_gohardasht,آنان (گوهردشت),7,2
88,billionaires_karaj,بیلیونرز (کرج),7,2
89,tishini_karaj,تی شی نی (کرج),7,2
90,character,کاراکتر (مهرشهر),7,2
91,shahrekhodro,شهر خوردو,7,2
92,ghalb_khorshid,قلب خورشید (کرج),7,2
93,pedra_azimiye,پدرا (عظیمیه),7,2
94,luigi_karaj,لوئیجی,7,2
95,fanoos_karaj,فانوس (کرج),7,2
96,rest_karaj,رست (کرج),7,2
97,darchin_cafe,دارچین,7,2
98,seven_karaj,سون (کرج),7,2
99,kohan_diyaran,کهن دیاران,7,2
100,bokhara_karaj,بخارا (کرج),7,2
101,zhozak_azimiyeh,ژوزک (فودکورت برج میلاد کرج),7,2
102,zhozek_mehrshahr,ژوزک (مهرشهر),7,2
103,expose,اکسپوز,7,2
104,blanch-atar,بلانچ (میدان عطار),7,2
105,mana,مانا,7,2
106,royalpalas_mehrshahr,رویال پالاس (مهرشهر),7,2
107,shamsolemare_gohardasht,شمس العماره (گوهردشت),7,2
108,kardo_karaj,کاردو (گلشهر),7,2
109,themaze_karaj,د می ز (عظیمه),7,3
110,burger_buffalo,بوفالو (مهرشهر),7,2
111,doran_azimieh,دوران (عظیمیه),7,2
112,garnish_karaj,گارنیش (جهانشهر),7,2
113,firstclass,فرست کلاس (گوهردشت),7,2
114,khalifagarden,خلیفه گاردن,7,2
115,artemiss,آرتمیس,7,2
116,zafar1,ظفر,7,2
117,fungo,فونگو,7,2
118,anloo_karaj,آن لو (جهانشهر),7,2
119,karzin_karaj,کارزین (کرج),7,2
120,navy,نی وی,7,2
