,cafe_id,feature_id
0,0,9
1,1,9
2,2,9
3,3,9
4,4,0
5,4,9
6,5,4
7,5,9
8,6,9
9,7,0
10,7,4
11,7,9
12,8,0
13,8,4
14,8,2
15,8,9
16,9,0
17,9,4
18,9,9
19,10,4
20,10,9
21,11,9
22,12,0
23,12,6
24,12,11
25,12,4
26,12,1
27,12,9
28,13,1
29,13,9
30,14,8
31,14,11
32,14,4
33,14,9
34,15,6
35,15,8
36,15,11
37,15,4
38,15,9
39,16,11
40,16,4
41,16,9
42,17,6
43,17,11
44,17,4
45,17,1
46,17,9
47,18,1
48,18,9
49,19,4
50,19,1
51,19,9
52,20,4
53,20,1
54,20,9
55,21,7
56,21,4
57,21,9
58,22,7
59,22,4
60,22,9
61,23,11
62,23,3
63,23,4
64,23,1
65,23,9
66,24,4
67,24,9
68,25,7
69,25,4
70,25,9
71,26,0
72,26,9
73,27,6
74,27,11
75,27,9
76,28,3
77,28,9
78,29,8
79,29,3
80,29,1
81,29,9
82,30,4
83,30,1
84,30,9
85,31,0
86,31,6
87,31,8
88,31,4
89,31,1
90,31,9
91,32,0
92,32,8
93,32,4
94,32,9
95,33,0
96,33,4
97,33,9
98,34,0
99,34,4
100,34,9
101,35,0
102,35,4
103,35,9
104,36,0
105,36,4
106,36,9
107,37,4
108,37,9
109,38,9
110,39,0
111,39,8
112,39,4
113,39,9
114,40,3
115,40,2
116,40,9
117,41,0
118,41,9
119,42,0
120,42,6
121,42,11
122,42,4
123,42,9
124,43,0
125,43,4
126,43,2
127,43,1
128,43,9
129,44,0
130,44,9
131,45,9
132,46,11
133,46,4
134,46,9
135,47,0
136,47,4
137,47,9
138,48,0
139,48,4
140,48,9
141,49,0
142,49,4
143,49,9
144,50,0
145,50,4
146,50,9
147,51,9
148,52,4
149,52,9
150,53,0
151,53,4
152,53,9
153,54,0
154,54,4
155,54,9
156,55,4
157,55,9
158,56,9
159,57,0
160,57,8
161,57,9
162,58,9
163,59,0
164,59,8
165,59,9
166,60,0
167,60,4
168,60,9
169,61,4
170,61,9
171,62,4
172,62,9
173,63,0
174,63,9
175,64,0
176,64,11
177,64,2
178,64,9
179,65,0
180,65,11
181,65,7
182,65,9
183,66,6
184,66,8
185,66,11
186,66,5
187,66,7
188,66,9
189,67,0
190,67,11
191,67,4
192,67,9
193,68,4
194,68,9
195,69,6
196,69,5
197,69,3
198,69,4
199,69,2
200,69,9
201,70,7
202,70,4
203,70,1
204,70,9
205,71,6
206,71,11
207,71,4
208,71,9
209,72,0
210,72,1
211,72,9
212,73,0
213,73,11
214,73,4
215,73,9
216,74,4
217,74,9
218,75,0
219,75,4
220,75,9
221,76,4
222,76,9
223,77,8
224,77,4
225,77,9
226,78,8
227,78,9
228,79,4
229,79,9
230,80,8
231,80,4
232,80,9
233,81,3
234,81,1
235,81,9
236,82,9
237,83,1
238,83,9
239,84,0
240,84,7
241,84,9
242,85,9
243,86,0
244,86,9
245,87,9
246,88,7
247,88,4
248,88,9
249,89,0
250,89,7
251,89,9
252,90,0
253,90,11
254,90,7
255,90,4
256,90,9
257,91,0
258,91,4
259,91,1
260,91,9
261,92,9
262,93,4
263,93,9
264,94,1
265,94,9
266,95,0
267,95,4
268,95,9
269,96,4
270,96,9
271,97,11
272,97,3
273,97,4
274,97,9
275,98,0
276,98,7
277,98,4
278,98,9
279,99,4
280,99,9
281,100,0
282,100,4
283,100,9
284,101,0
285,101,8
286,101,4
287,101,9
288,102,0
289,102,4
290,102,9
291,103,0
292,103,3
293,103,1
294,103,9
295,104,0
296,104,9
297,105,11
298,105,7
299,105,3
300,105,4
301,105,9
302,106,4
303,106,2
304,106,9
305,107,0
306,107,4
307,107,2
308,107,9
309,108,4
310,108,1
311,108,9
312,109,11
313,109,7
314,109,4
315,109,9
316,110,7
317,110,4
318,110,9
319,111,7
320,111,4
321,111,1
322,111,9
323,112,0
324,112,7
325,112,4
326,112,9
327,113,0
328,113,7
329,113,4
330,113,9
331,114,11
332,114,7
333,114,3
334,114,4
335,114,9
336,115,8
337,115,11
338,115,7
339,115,3
