,phone_number
0,04135243397
1,04132820831
2,04133346101
3,04133312019
4,04133314649
5,04133249214
6,09356163131
7,09056182325
8,04136660742
9,04135567707
10,04133323024
11,04135568285
12,36697408
13,04136669702
14,33260257
15,
16,09141150840
17,33291989
18,36600670
19,33469415
20,33433290
21,09198442282
22,02433779443
23,02433442957
24,04433478632
25,09143496710
26,08138256201
27,09186115088
28,03136290920
29,03131325011
30,03132213539
31,03136628414
32,03136249731
33,32221842
34,03136615350
35,03152413507
36,03136273150
37,03131310295
38,03136268540
39,03195010101
40,03132224874
41,09351449510
42,03132222764
43,
44,9135131338
45,03136268787
46,03136259096
47,32219965
48,32234357
49,32213000
50,31319042
51,32217957
52,36246250
53,36268009
54,36611151
55,32217175
56,36616110
57,36550034
58,03136632329
59,36550332
60,07644478655
61,09347694466
62,07644468622
63,09019003033
64,09361897961
65,09123038343
66,44471111
67,07644458436
68,4452608
69,09347698820
70,03432111389
71,09017765438
72,3432529021
73,32469231
74,09131437692
75,32472087
76,32459736
77,32457711
78,33127264
79,34438500
80,02635777
81,02633425186
82,34441067
83,09015266615
84,02634447769
85,02634437777
86,
87,02634409701
88,32513737
89,32535553
90,02691010091
91,1596
92,09190227841
93,02632555961
94,02634990773
95,02634205700
96,02632532193
97,02634409628
98,02634209363
99,02632218178
100,02634473334
101,22093205
102,22093205
103,02633422874
104,02633554697
105,02634236058
106,02633411623
107,02634440452
108,02633537360
109,09901863156
110,33408952026
111,02632512141
112,02634474023
113,02634457327
114,02633400607
115,02633412347
116,02634212369
117,02634211196
118,02634212397
119,42268
120,02634641762
121,2634417455
122,9016211245
123,34497653
124,02634344808
125,02632742069
126,09125640364
127,09300060013
128,33400188
129,9126195499
130,34217217
131,32532193
132,34420566
133,32527730
134,34464570
135,32549212
136,32556413
137,34490849
138,07644873350
139,07633740333
140,07633669610
141,07633335153
142,
143,
144,
145,09133239334
146,07633334747
147,09351700711
148,05131660
149,05131660
150,513909
151,05137605364
152,05138823132
153,05138444516
154,36013191
155,38420131
156,37676664
157,37638358
158,09123848002
159,35098085
160,38814117
161,38443918
162,09155083007
163,07132302028
