,food_rate,servic_rate,worth,design_rate
0,,,,
1,,,,
2,,,,
3,,,,
4,,,,
5,,,,
6,,,,
7,,,,
8,,,,
9,0.0,0.0,0.0,0.0
10,,,,
11,,,,
12,,,,
13,,,,
14,0.0,0.0,0.0,0.0
15,4.0,5.0,5.0,4.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,,,,
20,,,,
21,,,,
22,,,,
23,5.0,5.0,5.0,5.0
24,0.0,0.0,0.0,0.0
25,,,,
26,0.0,0.0,0.0,0.0
27,4.0,1.0,5.0,5.0
28,0.0,0.0,0.0,0.0
29,5.0,4.0,4.0,4.0
30,,,,
31,0.0,0.0,0.0,0.0
32,5.0,4.0,4.0,5.0
33,,,,
34,,,,
35,4.0,4.0,5.0,4.0
36,,,,
37,,,,
38,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0
40,3.0,4.0,4.0,2.0
41,0.0,0.0,0.0,0.0
42,4.0,3.0,4.0,3.0
43,4.0,4.0,5.0,4.0
44,4.0,4.0,4.0,4.0
45,4.0,1.0,3.0,2.0
46,0.0,0.0,0.0,0.0
47,5.0,5.0,5.0,5.0
48,3.0,3.0,4.0,4.0
49,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0
51,5.0,5.0,5.0,5.0
52,0.0,0.0,0.0,0.0
53,4.0,4.0,5.0,4.0
54,4.0,4.0,3.0,3.0
55,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0
57,2.0,3.0,3.0,2.0
58,2.0,4.0,4.0,3.0
59,4.0,4.0,4.0,4.0
60,4.0,4.0,5.0,4.0
61,4.0,4.0,5.0,4.0
62,1.0,1.0,3.0,1.0
63,5.0,4.0,4.0,4.0
64,0.0,0.0,0.0,0.0
65,4.0,4.0,4.0,4.0
66,2.0,2.0,3.0,2.0
67,3.0,4.0,5.0,4.0
68,4.0,4.0,3.0,4.0
69,3.0,3.0,3.0,3.0
70,,,,
71,4.0,3.0,4.0,3.0
72,0.0,0.0,0.0,0.0
73,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0
75,4.0,4.0,4.0,4.0
76,4.0,4.0,4.0,4.0
77,4.0,4.0,4.0,4.0
78,3.0,4.0,4.0,3.0
79,,,,
80,,,,
81,5.0,5.0,5.0,4.0
82,,,,
83,,,,
84,0.0,0.0,0.0,0.0
85,,,,
86,,,,
87,,,,
88,,,,
89,2.0,3.0,2.0,3.0
90,2.0,1.0,2.0,2.0
91,,,,
92,,,,
93,4.0,4.0,4.0,4.0
94,,,,
95,,,,
96,4.0,4.0,4.0,4.0
97,4.0,4.0,4.0,4.0
98,0.0,0.0,0.0,0.0
99,,,,
100,4.0,2.0,5.0,2.0
101,0.0,0.0,0.0,0.0
102,,,,
103,5.0,5.0,5.0,5.0
