,id,Name,Perfect,Good,Ok,Bad,Very Bad
237,237,melo,6,0,0,0,0
238,238,honar_cafe,16,24,8,3,3
239,239,shahraan,0,0,0,0,0
240,240,khanehsaboo,0,0,0,0,0
241,241,baharak,0,0,0,0,0
242,243,synod,1,0,0,0,0
243,244,shaniya,2,0,0,0,0
244,245,robaee,1,0,0,0,0
245,246,cafekhamiz,0,0,0,0,0
246,247,harik,12,10,0,1,2
247,248,darya_baz,15,10,8,2,5
248,249,coffemarket,0,0,0,0,0
249,250,nanjam,0,0,0,0,0
250,251,natur,1,0,0,0,0
251,252,number6,0,0,0,0,0
252,253,sweet_angel_pastry,0,0,0,0,0
253,254,royalgalesi,0,0,0,0,0
254,255,idea_cafe,1,0,0,0,0
255,256,madaeen,27,23,10,2,7
256,257,avrin,3,0,0,0,0
257,258,belinski,6,1,0,0,0
258,259,barmancafe,0,0,0,0,0
259,260,beatbistro,8,3,2,2,0
260,261,caferack,18,19,11,4,3
261,262,sweet-blissniyavaran,26,11,2,2,2
262,263,chimney,29,13,18,9,18
263,264,shemroon_gharb,4,3,3,0,0
264,265,golliyancafe,4,0,0,0,0
265,266,bamerey,18,6,10,1,8
266,267,avani,98,52,8,5,13
267,268,noosheh,1,3,2,1,1
268,269,shemroon-baamland,15,30,23,12,30
269,270,viuna-tajrish,3,6,2,1,0
270,271,dantecaferestaurant,19,37,14,14,12
271,272,almond,4,2,1,0,0
272,273,parpirar,7,1,0,2,1
273,274,ava_plus,7,2,1,0,1
274,275,izar,4,5,3,5,5
275,276,captain_lounge,39,28,19,16,20
276,277,nattlisohrevardi,14,8,4,0,3
277,278,borito,39,40,18,10,19
278,279,cafe365,0,0,0,0,0
279,280,cafe_13,0,0,0,0,0
280,281,cafe_do_hasht,0,0,0,0,0
281,282,soora_coffee_restaurant,0,0,0,0,0
282,283,mescafe,0,0,0,0,0
283,284,clavier,0,0,0,0,0
284,285,crescendo,1,0,0,0,0
285,286,tehroonchi,0,0,0,0,0
286,287,insidecafe,0,0,0,0,0
287,288,cafe_snake,0,0,0,0,0
288,289,hobo_lounge,0,0,0,0,0
289,290,ariya_restaurant_sonati,0,0,0,0,0
290,291,hemera_tehran,0,0,0,0,0
291,292,herma_cafe,0,0,0,0,0
292,293,levicafe,0,0,0,0,0
293,294,emaratehoor,0,0,0,0,0
294,295,open_mindcafe,0,0,0,0,0
295,296,niki_caferestaurant,0,0,0,0,0
296,297,maronbar,0,0,0,0,0
297,298,mashacafe_evinhotel,0,0,0,0,0
298,299,odessa,1,1,0,0,0
299,300,dolitcafe,0,0,0,0,0
300,301,cafemostaghel,0,0,0,0,0
301,302,roseofpersia,0,0,0,0,0
