,Persian Name,Address,Phone Number,Is Open,Price_Class,Rate
mazhan_ahvaz,ماژان (اهواز),زیتون، کارمندی، خ زیتون، نبش فاضل,06134449797,12-24,2,6.7
pottery,پاتری,فلکه ملی،راه جنب مجتمع فرهنگی مخابرات,09374454048,9-24,2,8.2
noveno_ahvaz,نوونو,کیانپارس،خیابان ۹ غربی،فاز۳،پلاک ۱۵۱,09026299009,10-24,2,null
sahel_ahvaz,ساحل (اهواز),گلستان، خ فروردین، بین بیمارستان و پارک قوری، مجتمع تفریحی ساحل,06133743641,11-24,2,null
rest-ahwaz,رست,فرهنگ شهر ، رو به روی دانشگاه ازاد,06133328300,8:30-24,2,null
basil_ahvaz,بازیل (اهواز),ساحلي كيانپارس,06133928240,11:30-24,2,8.1
khatere-keramat-icecream,بستنی خاطره کرامت,خیابان زند، نبش کوچه قدس,09169207040,12-24,1,null
land_ahvaz,متاسفانه خطایی رخ داده است. در صورت تکرار لطفا از طریق صفحه تماس با ما مشکل را گزارش کنید,null,null,null,0,null
famili_ahvaz,فمیلی (اهواز),كيان اباد، بين ٦ و ٧ شرقي,0613390545,8-23,2,3.8
royalpark,رویال پارک,ساحلى شرقى عامرى ،روبروى خرم كوشك,9163110000,12-15 19-24,2,6.0
da-ahvaz,دا,کیانپارس ،خیابان سیزدهم شرقی,06133925232,,3,7.0
cafedeniz-ahvaz,دنیز,كيانپارس بين خيابان ١٩و٢٠غربى,33372241,12-24,2,7.5
bruja-ahvaz,بروجا,خیابان اصلی کیان آباد، نبش خیابان 5 غربی,09199913007,10-24,2,6.7
thewall-ahvaz,متاسفانه خطایی رخ داده است. در صورت تکرار لطفا از طریق صفحه تماس با ما مشکل را گزارش کنید,null,null,null,0,null
puzzle-ahvaz,پازل,کیانپارس،  انتهای خیابان 6 شرقی,33922020,8:30-24,1,7.8
don-ahvaz,دن,کیانپارس ، خیابان ایدون ، بین خیابان ۱۸ و ۱۹,33902571,8:30-24,2,null
gallery28-ahvaz,گالری 28,کیانپارس،طبقه ی فوقانی سینما هلال,09169778006,12-24,2,6.7
cinema-ahvaz,سینما,کیانپارس ، 17 شرقی ، بعد از ورودی بیمارستان آریا ، جنب سوپر مارکت ایران,09360010091,10-24,2,8.1
rhino-ahvaz,رینو,کیانپارس ، خیابان ۷ شرقی، پلاک ۳۸,33922152,8:30-24,2,7.3
borj-ahvaz,برج,خیابان کیانپارس، خیابان موحدین شرقی، برج کوثر,3330047,8:30-13:30/17-24,2,null
kooche-ahvaz,کوچه,کیانپارس ، نبش خیابان 11 شرقی ،  طبقه فوقانی رستوران سنتی هزار دستان,33924616,11-24,2,7.8
laberit5,بستنی لابریت (اهواز),اهواز، ملی راه ، خیابان مهران پلاک 64,88022244,10-24,1,7.6
