,Persian Name,Address,Phone Number,Is Open,Price_Class,Rate
arca,آرک آ,جلفا، روبروی کلیسای وانک,03136290920,9-24,2,5.2
emarat_simon,عمارت سیمون,جلفا،روبروی کلیسا وانک,03131325011,10-24,3,6.9
saad_abad,سعدآباد,ميدان انقلاب،ابتداي چهارباغ عباسي،كوچه طاووس خانه،جنب مادي نياصرم,03132213539,9-23,2,null
nikan_isfahan,نیکان (اصفهان),میدان فیض، خیابان میر، روبرو سازمان هلال احمر,03136628414,8-23:45,2,6.7
parkland_isfahan,پارک لند (اصفهان),بلوار سعدی، جنب فروشگاه هاکوپیان,03136249731,12-24,2,4.8
dastan_esfahan,دستان (اصفهان),خیابان سپه، کوچه کازرونی,32221842,8-23,2,null
iranian_esfahan,ایرانیان,خیابان آمادانا اول روبه روی معاونت درمان,03136615350,16-24,2,null
radio_esfahan,رادیو (اصفهان),مبارکه، خیابان منتظری، پاساژ طلا، زیرزمین,03152413507,8-24,2,8.1
ribar_esfahan,ریبار (اصفهان),خيابان بوستان سعدی، حدفاصل پل فلزی و پل مارنان، جنب پوشاك زاور، طبقه زيرين گل آريسا,03136273150,9-24,2,null
sense_esfahan,سنس,خیابان شریعتی غربی ، چهارراه محتشم کاشانی ، جنب آموزشگاه حافظ,03131310295,10-24,2,null
jinergelato_esfahan,ژینر جلاتو (اصفهان),نظر میانی، کوچه کلیسا وانک,03136268540,9-24,2,6.7
nazhland,ناژلند,پارک جنگلی ناژوان،ایستگاه ۲ تله سیژ,03195010101,8-24,2,7.5
hamdamo-saltane-esfahan,خانه تاریخی همدم السلطنه,انتهای خیابان حافظ ، کوچه شماره ۳,03132224874,12-15:30/17-24,2,5.2
cafekaghaz-esfahan,کاغذ,چهارباغ بالا روبرو زمزم مجتمع پارسیان انتهای ایوان,09351449510,9-24,2,5.3
messo_qali,مس و قالی,خ سپه شرقی مقابل اداره دارایی مرکزی تیمچه مثقالی,03132222764,9-24,2,5.3
toranj_isfahan,ترنج (اصفهان),خاقانی ، کوچه هوانس شیراز,,7:30-23,2,7.9
farhang_esfahan,فرهنگ (اصفهان),خیابان کمال اسماعیل، طبقه زیرین پل جوئی,9135131338,7:30-23:30,2,7.4
tatilat_esfahan,تعطیلات (اصفهان),خیابان حکیم نظامی.جنب خیابان مهرداد,03136268787,11-24,2,6.2
mystar,ستاره ی من,خيابان حكيم نظامي،كوچه سنگتراشها،بعد ازآبنما،نبش کوچه ۱۷,03136259096,9-24,2,6.7
Sharbatsarayeroozegarnow,شربت سرای روزگار نو,میدان نقش جهان ، بازارچه چهار سوق مقصود,32219965,9-22:45,2,8.3
Sharbatsarayeroozagar,شربت سرای روزگار,میدان نقش جهان ،جنب مسجد شیخ لطف الله ، سرای اسپادانا پلاک 37,32234357,9-22:45,2,8.2
plaque2,پلاک دو,چهار راه فلسطين،ابتداى خيابان استاندارى،سمت چپ،نهر فرشادى غربى پلاک2,32213000,8:30-23,2,8.3
Teatr,تئاتر,خیابان چهارباغ عباسی ، رو به روی شیخ بهایی ، مجتمع هشت بهشت ، ورودی سرای هشت بهشت ، طبقه اول,31319042,8-22,1,8.2
pastoisfahan,پستو,میدان انقلاب ، خیابان چهار باغ عباسی ، خیابان مادی نیاصرم (حدفاصل چهار باغ و خیابان پاسداران),32217957,12-16/18-24,2,6.6
One,وان,خیابان نظر میانی، میدان جلفا ، پلاک هفت، کافه وان.,36246250,10-23:30,2,8.1
Sharbatkhanefiroo,شربت خانه فیروز,جلفا خیابان حکیم نظامی کوی کلیسای وانک روبروی هتل جلفا,36268009,8-24,2,6.8
Hermes-brewbar,هرمس (مصلی),خيابان مير،ابتداي خيابان مصلي نبش بن بست آذر,36611151,8-23:30,2,6.7
Narvan,نارون,میدان نقش جهان ، بازار قیصریه ، پلاک 9,32217175,9-22,1,8.5
Teendounat,تین دونات,خیابان میر ، روبروی بیمارستان سپاهان,36616110,12-24,1,7.9
firstcupiran,فرست کاپ,اصفهان ، سیتی سنتر ، طبقه اول ، واحد cs 110,36550034,10-24,2,4.6
laberitchaharbagh,بستنی لابریت (چهار باغ),چهارباغ بالا، نبش کوچه رییسی، پلاک 39,03136632329,8:30-24,1,7.6
terraceesfahan,تراس(اصفهان),سیتی سنتر ، طبقه اول ، ورودی 8,36550332,10-24:30,1,6.5
