,Persian Name,Address,Phone Number,Is Open,Price_Class,Rate
1stclass,فرست کلاس (جمهوری),جهانشهر، کنار گذر پل روحانی، نرسیده به میدان جمهوری، نبش کوچه میثم,34438500,11-24,2,null
mehradhal_karaj,مهراد,عظیمیه، بلوار شریعتی، طبقه چهارم,02635777,11-24,2,null
lukas_mehrshahr,لوکاس,مهرشهر، بلوار شهرداری، خیابان صد و نه، پلاک422/2,02633425186,11-24,2,8.1
emarat_asemani,عمارت آسمانی,جهانشهر، بلوار ماهان شرقی، خیابان استانداری شمالی,34441067,11-24,2,null
kavich_gohardasht,کاویچ (گوهردشت),گوهردشت،بلوار آزادی،بین فلکه اول وسه باندی,09015266615,7-24,2,null
venhan_gohardasht,ونهان (گوهردشت),گوهردشت، خیابان  اصلي گوهردشت، خیابان داریوش,02634447769,9-24,2,6.7
shad_karaj,شاد (کرج),گوهر دشت، بلوار رستاخیز، نبش خیابان 12,02634437777,11-23,2,null
amooghobad_karaj,عمو قباد (کرج),گوهردشت،خیابان سیزدهم غربي(فاز٢)، نرسیده به رستاخیز,,9-23,2,null
anan_gohardasht,آنان (گوهردشت),خیابان گوهردشت، بلوار رستاخیز، نبش خیابان دهم شرقی,02634409701,8-23:45,2,null
billionaires_karaj,بیلیونرز (کرج),عظیمیه ، میدان ‌طالقانی ، به‌سمت بام نبش گلستان‌۲۰,32513737,11-24,2,null
tishini_karaj,تی شی نی (کرج),بام،عظيميه، بلوارطالقانی شمالی، نبش گلستان۲۰,32535553,9-24,2,5.2
character,کاراکتر (مهرشهر),مهرشهر، بلوار شهرداری، چهارراه مسیح پاکدل، جنب مرکز خرید پاتریس,02691010091,8-24,2,2.4
shahrekhodro,شهر خوردو,مهرشهر، بلوار شهرداری، نبش شهرداری 205,1596,8-24,2,null
ghalb_khorshid,قلب خورشید (کرج),عظیمیه ، بلوار شریعتی ،خیابان نیک نژاد شمالی,09190227841,12-23,2,null
pedra_azimiye,پدرا (عظیمیه),میدان اسبی، بلوار استقلال شمالی، نبش کوچه میر زنده دل,02632555961,12-24,2,6.0
luigi_karaj,لوئیجی,مهرشهر، بلوار شهرداری، نبش خیابان 205,02634990773,10-24,2,null
fanoos_karaj,فانوس (کرج),جهانشهر، نبش میدان مدنی، نبش خیابان مهران,02634205700,9-24,2,null
rest_karaj,رست (کرج),عظیمیه، بالاتر از میدان استقلال( میدان اسبی),02632532193,11-23,2,4.8
darchin_cafe,دارچین,جهانشهر،میدان هلال احمر،خیابان هلال احمر،نبش کوچه سنبل,02634409628,8:30-23,2,7.3
seven_karaj,سون (کرج),جهانشهر، استانداری شمالی,02634209363,10-24,2,5.3
kohan_diyaran,کهن دیاران,بلوار شورا جنوبی، کافه رستوران کهن دیاران,02632218178,12-24,2,null
bokhara_karaj,بخارا (کرج),خیابان هلال احمر، نبش فتوح,02634473334,9-23,2,6.2
zhozak_azimiyeh,ژوزک (فودکورت برج میلاد کرج),عظیمیه، بلوار طالقانی شمالی، بعد از پل آزادگان، نبش خیابان حسینی، برج میلاد، طبقه 2,22093205,8-24,2,5.2
zhozek_mehrshahr,ژوزک (مهرشهر),مهرشهر، چهارباندی، فاز 3، نبش خیابان 307، پلاک 298,22093205,8-24,2,null
expose,اکسپوز,مهرشهر، بلوار شهرداری، خیابان 341,02633422874,9-24,2,8.2
blanch-atar,بلانچ (میدان عطار),کرج ، خیابان درختی ، میدان عطار,02633554697,8-23:30,2,6.5
mana,مانا,مهرویلا، ابتدای خیابان درختی، جنب بانک ملت,02634236058,12-24,2,null
royalpalas_mehrshahr,رویال پالاس (مهرشهر),مهرشهر، بلوار شهرداری، انتهای خیابان 109,02633411623,11-24,2,4.7
shamsolemare_gohardasht,شمس العماره (گوهردشت),گوهردشت خيابان هشتم غربي (فاز دوم ) كاشي 18,02634440452,9-22,2,8.2
