Name,Persian Name,Address,Phone Number,Is Open,Price_Class,Rate
lavazza,لاواتزا,پاساژ کوروش,07644478655,9-24,2,6.7
navado_shish_kish,96 (کیش),هتل کیش,09347694466,11-24,2,6.8
foodsun_kish,فودسان(کیش),میدان پردیس، طبقه زیر هتل پارمیس,07644468622,11-24,2,2.4
cafeananas-kish,آناناس,میدان هور,09019003033,8:30-12/19-24,2,8.1
micafe-kish,میکافه,انتهای بلوار هنر ، میدان میکا ، روبروی برج مسک.نی میکا,09361897961,10-24,2,8.1
tehroon-cafe-kish,طهرون,جنب کیبل اسکی,09123038343,9 صبح الی 2 بامداد,2,8.0
padide-shandiz-kish,پدیده شاندیز,جاده جهان ، نرسیده به میدان غروب,44471111,12-16 20-24,4,4.1
honarmand-kish,هنرمند,بلوار مروارید ، روبروی مرکز خرید مروارید،  ایوان مروارید ، پلاک 336,07644458436,11 صبح الی 2 بامداد,2,8.1
viuna-kish,ویونا (کیش),خیابان فردوسی ، مرکز خرید کیش,4452608,null,2,8.3
mirmohanna,میرمهنا,خیابان فردوسی ، خیابان اعتصامی ، روبروی هتل آبادگران,09347698820,12-16/19-24,3,6.7
