,Persian Name,Address,Phone Number,Is Open,Price_Class,Rate
terasmashhad,تراس (مشهد),مشهد، بلوار وکیل آباد، بین امامت 6 و 8,05131660,8-23,2,8.2
terrace-mashhad,مجموعه غذایی تراس,بلوار وکیل آباد ، بلوار امامت ، بین امامت ۶ و ۸,05131660,8-24,2,null
pardisan_mashad,پردیسان (هتل پردیسان مشهد),بزرگراه کلانتری بعد از میدان استقلال هتل پردیسان,513909,11-24,2,6.8
boocafe,بوکافه (مشهد),سه راه فلسطین.دستغیب 10,05137605364,9-23,2,8.1
aron_mashhad,آرون (مشهد),"كوثر شمالي ١ ، لاله ١ پلاك ١
( وكيل اباد ١٠ ، لاله ، پلاك ١",05138823132,8-24,2,null
comma_mahshad,کاما,نبش کوهسنگی ۲۵,05138444516,8:15_24,2,null
sandali-mashhad,صندلی,وكيل اباد 15 ، نبش شهيد قاسمي 1,36013191,9-24,2,6.7
suger-ahmadabad-mashhad,شکر (احمد آباد),احمد آباد ، بلوار ملاصدرا ، ملاصدرا 4,38420131,8-24,2,8.3
suger-sajad-mashhad,شکر (سجاد),بلوار سجاد ، خیابان بهار 2 ، پلاک 8,37676664,9-24,2,7.4
kook-mashhad,کوک,بلوار خیام ، خیام 10 ، خیابان زنبق,37638358,8-24,2,8.1
leon-mashhad,لئون,بزرگراه کلانتری ، مجموعه توریستی آبادگران ، ایران برج 1 ، B1,09123848002,10-23:45,2,7.5
retro-mashhad,رترو (مشهد),بلوار پیروزی ، بین پیروزی 79 و 81 ، شماره 79,35098085,13:30-24,2,6.7
cafe1860-mashhad,1860,هاشمیه 91/5 ، خیابان سوم سمت چپ ، قطعه آخر,38814117,17-23:30,2,8.6
nabaatcafe-mashhad,نبات,خیابان سلمان فارسی ، نرسیده به خیابان فلسطین ، نبش صفا,38443918,8-24,2,7.8
cafe81,کافه 81,بلوار سجاد ، خیابان حامد جنوبی 9 ،  پلاک 81,09155083007,9-24,2,7.5
