,Persian Name,Address,Phone Number,Is Open,Price_Class,Rate
sasan_hotel_shiraz,هتل ساسان (شیراز),خیابان کریمخان زند ،خیابان انوری,07132302028,,2,null
soofi_shiraz,صوفی (شیراز),بلوار ستارخان، روبه رو خردمند,07136490000,11-24,2,null
almas_shiraz,الماس (شیراز),معالی اباد، مجتمع اوتانا یک، باشگاه الماس,09364045239,10-23,2,8.1
hajabasali_pesaran,حاج عباسعلی و پسران (شیراز),بلوار آزادی، چهارراه باغ تخت,32288771,,2,5.3
shin_shiraz,شین,پل زرگری به سمت فلکه دانشجو، روبروی ابیوردی ۳،جنب اتوکوروش,07136284553,9-24,2,8.2
savana_shiraz,ساوانا (شیراز),خیابان قصرالدشت، حدفاصل ولیعصر و عفیف آباد ، کوچه ۵۹ ، روبروی ۵۹/۴,09120998125,8-24,2,null
banan_shiraz,بنان (شیراز),حدفاصل پارامونت و باسکول نادر، ذوالنوار شرقی، روبروی کوچه ۲، ورودی پارکینگ زیتون,07132354005,9-24,2,null
screwchis,اسکوروچی,شیراز، خیابان جهادسازندگی، حدفاصل چهارراه چنچنه و فلکه گاز، نبش کوچه ۳,07132279809,9-23:30,2,7.3
bababastani-niyayesh,بابا بستنى (نیایش),بلوار چمران، بلوار نیایش,0716541815,12-24,1,null
vital,ویتال,قدوسى غربى،خيابان محلاتى،نبش كوچه ٤,0736305030,17-24,2,null
khosha-shiraz,خوشا شیراز,بلوار صنایع روبروی ورودی گلدشت حافظ,07136504324,12-24,3,7.5
haftkhan_shiraz,مجموعه هفت خوان,بلوار جدید قرآن،نبش کوچه 17,07132270000,,3,7.3
joulep-shieaz,ژولپ,پشت ارگ کریمخان,07132246980,08:30-23,2,5.4
caferoyal-shiraz,رویال,بازار وکیل ،  مجموعه زندیه ، بین حمام و مسجد وکیل,09011309503,8-23,2,null
pansion_ketab,پانسیون کتاب,خيابان ٢٢ بهمن(شاهپور سابق)،روبروي كوچه ٥,9172525096,11-23,2,8.4
cafeinn-shiraz,این,معالی آباد ، نبش خیابان بهاران  ، مجتمع آرین,36384254,8:30-12/17:30-24,2,8.2
street-lounge-shiraz,استریت لانژ,معالی آباد، پزشکان، مجتمع الماس شهر,09173047400,9-23,2,7.5
ferdowsi-shiraz,فردوسی,خیابان فردوسی ، روبروی هتل آرين ،  كاشی 194,32316616,9-23,2,6.3
shahrekaghazi-shiraz,شهر کاغذی,قصرالدشت، حدفاصل سه راه برق و ملاصدرا، كوچه ٢٥ قصرالدشت,32361033,9-23,2,8.1
yoga-shiraz,یوگا,ميدان احسان ، بولوار پرستار،  ساختمان هاي مسكوني دراك ، بلوك اركيد,36390258,9-23,2,null
chill-shiraz,چیل,خیابان هدایت غربی کوچه 8,32343972,11-24,2,8.2
cando-shiraz,کندو,پل معالی آباد بطرف دینکان،بلواربهشت،روبروی مجتمع ارکیده,36236373,17:30-11:30,2,8.1
khanehonar-shiraz,خانه هنر,خيابان دانشگاه ، پلاک 62,36290999,9-23,2,6.7
bahman-57,بهمن 57,عفیف آباد،مجتمع تجاری حافظ طبقه اول,36262444,10-22,2,7.3
nagashi,نقاشی,خيابان فردوسي ،نبش خيابان رودكي،كافه نقاشي,32231644,9:30-23:30,2,8.1
hayat,حیاط,کوچه ۳۶ قصردشت ، روبروی عفیف آباد نبش ۳۶/۳ ، پلاک ۱۹۳,9164067312,9-23,2,null
geren,گرن,بولوار نيايش ، مجتمع هومهر,36541894,7-24,2,7.9
mahooni,ماهونی,حافظیه ،روبروی باغ جهان نما,32278585,8-24,2,7.7
patogh-ketab,پاتوق کتاب,شهرک گلستان ، غدیرشمالی ، نبش گل رز‏,32344614,16-23,2,null
memar,معمار,خیابان جهاد سازندگی بالاتر از چهار راه چنچنه,32276799,9-24,2,6.8
hedayat-shiraz,هدایت,بيست متری سينما سعدی ، هدايت غربی، نبش كوچه 4,32349152,8:30-24,2,5.8
lobbylounge_shiraz,لابی لانژ (شیراز),معالی اباد ، پزشکان هتل الیزه,07136238890,8-23,2,null
