,Persian Name,Address,Phone Number,Is Open,Price_Class,Rate
roli_bastani,رولی (تبریز),اول عباسی، به طرف منصور,04135243397,11-23,2,null
lalehzar_tabriz,لاله زار (تبریز),چایکنار، بعد از کارواش شهرداری، نرسیده به بلوار آذربایجان,04132820831,11-23,2,null
saniz,سانیز,پل سنگی، چایکنار,04133346101,11-23,2,null
mosbat_tabriz,مثبت (تبریز),ولیعصر، فلکه بزرگ,04133312019,,2,null
asa_cafe,آسا,ولیعصر، خیابان شریعتی، نرسیده به میدان بهارستان، طبقه فوقانى قنادى کریمی,04133314649,8:30-23:30,2,null
kolbeh_tabriz,کلبه (تبریز),ولیعصر، نگین پارک,04133249214,10-23:30,2,null
sansevan_tabriz,سن سون (تبریز),بلوار 29 بهمن، اول جاده شاهگلی، روبه‌روی راهنمایی,09356163131,12-23,2,null
geramaphone_tabriz,گرامافون (تبریز),خیابان شریعتی جنوبی،نبش کوچه آرام اول,09056182325,11-24,2,null
badas_tabriz,باداس (تبریز),رشدیه، ابتدای جاده سلامت,04136660742,8-23,2,null
urbancafe-tabriz,اوربان,خيابان شريعتي(شهناز)، خيابان والمان,04135567707,9-11/16-23,1,8.1
roz_tabriz,رز (تبریز),اول جاده ایل گلی، الهی پرست، نپش ۲۴ متری,04133323024,11-24,2,null
coffee-pedar,قهوه پدر,شریعتی جنوبی، کوچه‌های سنگی,04135568285,12-23,1,null
cafe_pizza,کافه پیتزا8,اتوبان پاسداران،50متر بالاتر از لاله پارک,36697408,11-23,2,null
lounge-tabriz,لانژ,رشديه ، الهيه،كوى سبلان,04136669702,11-24,2,null
paeez81,پاییز 81,خیابان ولیعصر ، فلکه بزرگ ، مرکز خرید میلاد نور,33260257,10-23,1,8.1
emarat,عمارت,پارک ائل گلی، عمارت شاه گلی,,11-24,2,7.7
Amirchocolateplus,امیر شکلات پلاس,خیابان ولیعصر ، پارک ولیعصر ، مجتمع تفریحی,09141150840,11-24,2,6.7
13takeaway,سیزده,وليعصر ، فروغي ، خيابان شيخ محمد خياباني ، كافه ١٣,33291989,18-24,2,8.2
Rex,رکس,ميدان فهميده، مجتمع لاله پارك، طبقه1,36600670,10:30-23:30,2,8.3
