Name,Persian Name,Address,Phone Number,Is Open,Price_Class,Rate
blacklounge-bamland,بلک لانژ (بام لند),دریاچه چیتگر،مجتمع تجاری تفریحی باملند، بلوک c3 ، طبقه  اول,02140447182,8-23,3,6.8
ebony,ایبونی,تقاطع خیابانهای لواسانی و‌اندرزگو، برج کوه نور، داخل پاساژ، واحد13,02122829751,9-22,2,null
cafe41,کافه 41,میدان ونک، خیابان ونک، پلاک ۴۱,02186081195,7-23,2,7.8
cafese,ث,تهران، خیابان ویلا، خیابان صارمی شرقی، پلاک ۳۸,02188920387,8:30-23,2,7.4
salomba,سالمبا,بلوار فردوس غرب، بین ورزی و پروانه جنوبی، پلاک ۴۴۶، ساختمان کارون، طبقه همکف,02144145353,12-24,2,9.1
khancookk,خانکوک,میرداماد،میدان مادر،خیابان وزیری پور،پلاک49,02126404031,8-23,2,6.8
darbar_cafe,دربار,خیابان قرنی، نرسیده به خیابان کریمخان، کوچه امانی، پلاک پنج,02188802576,9:30-23,2,5.7
queen,کویین,اقدسیه، بزرگراه ارتش، بلوار اوشان، خیابان شفیعی، خیابان رضوان، پلاک ۱۹,02122191981,11-23,2,6.0
etefagh,اتفاق,میدان هفت تیر ، خیابان مفتح جنوبی ، انتهای خیابان اردلان ، پلاک ۲۴ ، طبقه دوم,09352432655,9-24,2,6.9
buoncibo,بن چیبو,پونک، بلوار میرزا بابایی، نبش بلوار عدل، ضلع جنوب شرقی چهار راه، پلاک۳۰، جنب مسکن سازان,02144403011,12-23,3,4.4
zhiyan,ژیان(آجودانیه),آجودانیه ،خیابان پور ابتهاج ، کوچه پوریا ، مجتمع کاج,02122809919,8-24,2,null
dorehami_emamzadehhasan,دورهمی,خیابان امامزاده حسن، روبه روی بانک ملی، پلاک 376,02155774411,12-24,2,7.9
ahoon,آهون,بلوار کشاورز، فلسطین جنوبی، نبش کوچه ذاکری,02186037657,11-23:30,2,7.7
cluna_taleghani,کلانا (طالقانی),خیابان ولیعصر، بالاتراز چهارراه ولیعصر، نرسیده به خیابان طالقانی، پلاک 1519,02166405126,6:30-22:30,2,6.9
dallatera,دالاترا,پاسداران، بلوار شهرزاد، خیابان هدایت، پلاک ۸۴(میدان هدایت),02126650665,10-23:30,2,8.3
salomeh,سالومه,خیابان پیروزی،بلوار ابوذر،پل پنجم،مسلم شمالی,02133829790,8:30-23,2,7.6
rum-bistro,رام بیسترو,ميدان هفت تير ، كريم خان ، بين قائم مقام و خردمند، پلاك ١,02188328092,9-23,1,8.1
vcafe-pasdaran,ویکافه (پاسداران),خیابان پاسداران، نبش بوستان پنجم، ساختمان سام,02122796521,11-24,1,7.0
herman,هرمان,میدان هفت تیر،خیابان قائم مقام،خیابان مشاهیر،تقاطع لطفی,02188822372,11-24,2,9.1
baba-cafe,بابا کافه,انتهاى اتوبان همت غرب، اتوبان خرازى به سمت درياچه خليج فارس،خيابان ارغوان، ميدان موج،مركز خريد بام لند،ساختمان وى آى پى ، طبقه سوم,02140447419,8:30-23,1,6.7
