,Persian Name,Address,Phone Number,Is Open,Price_Class,Rate
scoffee,اِس,نارمک،ضلع شرقی میدان نبوت،نبش کوچه فاطمه الزهرا،پلاک۳۳,02177955977,9-24,2,null
jaryan,جریان,خیابان فرشته،خیابان بوسنی هرزوگوین، خیابان دکتر حسابی، باغ موزه هنر ایرانی,09373333816,9-24,2,2.4
bavan,باوان,خیابان مطهری، خیابان لارستان، خیابان عبده، پلاک ۷,,12-21,2,null
lotus_fruitjuice,لوتوس,آجودانیه،مجتمع تجاری عرش آجودانیه،طبقه دوم پلاک 154,02126150421,11-23,2,null
cafe08,صفر هشت,فرمانیه،دیباجی شمالی،پلاک ۷۲,02122283828,8:30-23,2,null
link_andarzgo,لینک (اندرزگو),خيابان اندرزگو، خيابان سليمي جنوبي، خيابان نعمتي، پلاك ٣٤,02122670306,11-23:30,2,8.1
elva_seyedkhandan,الوا,سید خندان، خیابان جلفا، فرهنگسرای ارسباران، کوچه عقابف پلاک یک,,10-22,2,null
telma_valiasr,تلما (ولیعصر),چهارراه ولیعصر، خیابان خارک، کوچه داوری، پلاک ٣,09199673742,9-24,2,null
roostar_bakery,بیکری روستار,اقدسیه،نبش خیابان فیرزو بخش،جنب سفارت چین،مجتمع تجاری آوا سنتر،طبقه منفی ۲,02126455478,9-23,2,null
cityteras,سیتی تراس,شهران، بلوار کوهسار، پارک جنگلی کوهسار,02144341947,11-24,2,4.6
momento,متاسفانه خطایی رخ داده است. در صورت تکرار لطفا از طریق صفحه تماس با ما مشکل را گزارش کنید,null,null,null,0,null
jeunviecafe,ژانوی,خيابان شريعتى بالاتر از پل صدر نبش كوچه داد (حافظى) پاساژ الماس طبقه همكف,02140229014,9-24,2,null
ctplus,سی تی پلاس,شهرک غرب، خیابان ایران زمین، خیابان گلستان جنوبی، جنب بانک ایران زمین، پلاک 9,09361298909,9:30-24,2,null
saadabad,سعدآباد,کاخ موزه سعد آباد،درب زعفرانیه بالاتر از کاخ ملت,02122715050,9-21,2,null
kaya1,کایا,شهرک غرب، روبه روی میلاد نور، مجتمع ستین سنتر,02186175382,12-24,3,8.1
aknoon_evin,اکنون,اوین، اعرابی، نرسیده به سرهنگ عشقی، پلاک ۱۲,9121279460,9-20,2,null
carvel_andarzgoo,کارول (اندرزگو),بلوار کاوه، ابتدای بلوار اندرزگو، پلاک ۱۳۸,02122215739,9-23,2,null
zhabiz_lounge,ژابیز لانژ,خیابان ولیعصر، بالاتر از پارک ساعی، نبش خیابان مردوخی,02188856149,10-24,3,4.4
hamneshinn,همنشین,میدان رسالت، خیابان هنگام، سه راه طاهرخانی، نبش کوچه بهار,02177224574,9-24,2,null
mahur_shahrakgharb1,ماهور (شهرک غرب),شهرک غرب، بلوار دادمان، ابتدای خیابان درختی، مرکز خرید سپهر، طبقه اول,02188071090,11-24,2,null
hub,هاب,دروازه شمیران، میدان ابن سینا، خیابان مازندران,02177677254,9-24,2,8.2
klendygelato,کلندی جلاتو,یوسف آباد،خیابان اسد آبادی،بین ۴۳ و ۴۵ ،جنب بانک رفاه,02188601114,10-24,2,8.1
cafe_comma,کاما,تقاطع خیابان بهشتی و سهرودی پلاک ۱۳۶,02188416061,9-23,2,3.3
delvazcafe,دلواز,شهرک غرب، فاز 1 خ ایران زمین،مرکزخریدگلستان، حیاط شرقی,02188574755,9-22,2,null
saddleroom,سدل روم,"شهرک غرب، فاز ۴، خیابان فلامک شمالی،
نبش کوچه پنجم، پلاک ۲۸",02188078088,8:30-22:30,2,null
viggocoffee,ویگو,تجريش ميدان قدس ابتداى خيابان باهنر پلاك ٥٧١,,7:30-23:30,2,null
vitamine_babataher,بابا طاهر,نرسیده به میدان شاپور بین خیابان طبرستان و بشیری پلاک۶۴۸,02155381966,11-24,2,null
groke_cafe,گروک,شهران جنوبی، بلوار کوهسار، خیابان فرهنگ، مجتمع کوهسار،بلوکB، واحد تجاری یک,02144368429,10-24,2,null
lozan,لوزان,خیابان سپهبد قرنی، خیابان شاداب، پلاک ۵۲، جنب هتل قدس,9217260653,6-23:30,2,8.1
container2,کانتینر (سعادت آباد),سعادت آباد، میدان فرهنگ، بلوار ۲۴ متری، نبش هفتم شرقی,02122140603,8-24,2,8.1
sizdah50,سیزده 50,سعادت آباد،بالاتر از میدان کاج، بین خیابان عبقری و گلستان دوم,02122359015,9-24,2,null
risotto_zaferanih,ریزوتو (زعفرانیه),زعفرانیه، میدان اعجازی، بلوار بهزادی، بن بست بهار,02122180851,11-24,2,null
emaratpelak85,عمارت پلاک 85,یوسف آباد، خیابان شهید اکبری، روبروی سی و سوم، پلاک ۸۵,02186053695,11-23:30,2,6.0
dreamlandclub,دریم لند,بلوار فردوس شرق، بين خیابان عقيل و حسن آباد،پلاك ٣٦٧,02144978731,16-24,2,null
tehran_tehran1,طهران تهران,خیابان جمهوری، جنب متروی سعدی، پلاک ۲۰۵,02133934524,12-16 16-24,2,null
elmaso,ال ماسو,تهرانپارس، بالاتر از فلکه سوم، انتهای خیابان خدابنده، ساختمان امیران,02177200495,11-23,2,6.7
kheshte_behesht,خشت بهشت,خیابان پیروزی، صد دستگاه، پلاک524,02133319225,12-24,2,8.2
tarikh,تاریخ,وصال شیرازی، نرسیده به بلوارکشاورز، بالاتر از ایتالیا، کوچه مریم، کاشی۵,02188997229,9-20,2,6.7
unis,یونیس,خیابان استخر، بلوار استقلال، جنب پارک پلیس، ابتدا خیابان صاحب الزمان شمالی، پلاک 12، طبقه اول,02177060312,11-24,2,5.2
sayda_shahran,سایدا,شهران شمالی،بالاتر از فلکه سوم،جنب کارواش پدربزرگ,02144314051,12-24,2,6.7
sweetbar_ir,سوییت بار,بزرگراه شهید محلاتی،حد فاصل پُل ری و پُل آهنگ،پلاک ۳۳۸,02133519430,11-23,2,null
radiocity_lounge,رادیو سیتی,زعفرانیه، سه راه آصف،مجتمع تجاری بامیک,02122179245,8:30-23:30,2,2.4
la_maison_du,مزون,دروس، میدان هدایت، خیابان شادلو، خیابان کماسایی، پلاک۴۷,02122765436,8-23,2,null
bellobistro,بلو بیسترو,بزرگراه آیت الله کاشانی،نبش خیابان عقیل,02144000999,12-24,2,null
cafe40,چهل,سعادت آباد، خیابان ۳۸، نبش تقاطع نبی اکرم و خیابان ۴۰,02188095152,8:30-23,2,null
cynthia,سینتیا,فرمانیه،نبش نارجستان چهارم،مجتمع ارتمیس،طبقه دوم,02126253102,12-23:30,2,7.4
eliasaam,الیاسام,حکیم غرب، خروجی لشگری غرب گذر,02144998732,12-24,2,6.2
rackan,راکان,انتهای اتوبان ستاری شمال،میدان دانشگاه،نبش خیابان مخابرات,02144847702,11-23,2,5.2
koli_cafe,کولی,سـعادت آباد، بلوار دریـا، صرافهـا جنوبی، ۳۱غـربی,02188690973,8-21,2,null
pagani,پاگانی,پاسداران، خيابان داوود اسلامی، بالاتر از خيابان گيلان، پلاك 12.2 ، طبقه دوم,02126650261,9-24,2,2.4
