,Food,Servic,Worth(Price),Design
mazhan_ahvaz,4, 4,5,4
pottery,5, 5,5,5
noveno_ahvaz,null,null,null,null
sahel_ahvaz,null,null,null,null
rest-ahwaz,null,null,null,null
basil_ahvaz,0, 0,0,0
khatere-keramat-icecream,null,null,null,null
land_ahvaz,0, 0,0,0
famili_ahvaz,2, 3,3,4
royalpark,3, 3,3,3
da-ahvaz,4, 4,5,3
cafedeniz-ahvaz,0, 0,0,0
bruja-ahvaz,0, 0,0,0
thewall-ahvaz,null,null,null,null
puzzle-ahvaz,5, 5,5,5
don-ahvaz,null,null,null,null
gallery28-ahvaz,3, 3,3,3
cinema-ahvaz,0, 0,0,0
rhino-ahvaz,3, 4,3,4
borj-ahvaz,null,null,null,null
kooche-ahvaz,0, 0,0,0
laberit5,4, 2,1,3
