,Food,Servic,Worth(Price),Design
arca,0, 0,0,0
emarat_simon,5, 4,4,4
saad_abad,null,null,null,null
nikan_isfahan,0, 0,0,0
parkland_isfahan,5, 4,4,5
dastan_esfahan,null,null,null,null
iranian_esfahan,null,null,null,null
radio_esfahan,4, 4,5,4
ribar_esfahan,null,null,null,null
sense_esfahan,null,null,null,null
jinergelato_esfahan,0, 0,0,0
nazhland,0, 0,0,0
hamdamo-saltane-esfahan,3, 4,4,2
cafekaghaz-esfahan,0, 0,0,0
messo_qali,4, 3,4,3
toranj_isfahan,4, 4,5,4
farhang_esfahan,4, 4,4,4
tatilat_esfahan,4, 1,3,2
mystar,0, 0,0,0
Sharbatsarayeroozegarnow,5, 5,5,5
Sharbatsarayeroozagar,3, 3,4,4
plaque2,0, 0,0,0
Teatr,0, 0,0,0
pastoisfahan,5, 5,5,5
One,0, 0,0,0
Sharbatkhanefiroo,4, 4,5,4
Hermes-brewbar,4, 4,3,3
Narvan,0, 0,0,0
Teendounat,0, 0,0,0
firstcupiran,2, 3,3,2
laberitchaharbagh,2, 4,4,3
terraceesfahan,4, 4,4,4
