,Food,Servic,Worth(Price),Design
1stclass,null,null,null,null
mehradhal_karaj,null,null,null,null
lukas_mehrshahr,5, 5,5,4
emarat_asemani,null,null,null,null
kavich_gohardasht,null,null,null,null
venhan_gohardasht,0, 0,0,0
shad_karaj,null,null,null,null
amooghobad_karaj,null,null,null,null
anan_gohardasht,null,null,null,null
billionaires_karaj,null,null,null,null
tishini_karaj,2, 3,2,3
character,2, 1,2,2
shahrekhodro,null,null,null,null
ghalb_khorshid,null,null,null,null
pedra_azimiye,4, 4,4,4
luigi_karaj,null,null,null,null
fanoos_karaj,null,null,null,null
rest_karaj,4, 4,4,4
darchin_cafe,4, 4,4,4
seven_karaj,0, 0,0,0
kohan_diyaran,null,null,null,null
bokhara_karaj,4, 2,5,2
zhozak_azimiyeh,0, 0,0,0
zhozek_mehrshahr,null,null,null,null
expose,5, 5,5,5
blanch-atar,4, 4,4,4
mana,null,null,null,null
royalpalas_mehrshahr,2, 2,2,2
shamsolemare_gohardasht,0, 0,0,0
kardo_karaj,0, 0,0,0
themaze_karaj,1, 4,3,3
burger_buffalo,3, 3,3,3
doran_azimieh,4, 4,4,4
garnish_karaj,4, 5,5,4
firstclass,2, 2,5,2
khalifagarden,3, 4,4,3
artemiss,5, 4,5,4
zafar1,5, 5,5,5
fungo,4, 4,4,4
anloo_karaj,null,null,null,null
karzin_karaj,4, 4,4,4
navy,null,null,null,null
zharles,4, 4,4,4
waffle,5, 5,5,5
amirshokolatpelus,5, 5,5,5
tt,5, 5,5,5
riboon,5, 5,5,5
cafe-sibil,0, 0,0,0
daloon,4, 3,3,5
shams1,4, 4,5,4
blanch,3, 4,4,3
chenin,4, 4,4,3
mazzo,4, 3,3,4
havana-karaj,4, 5,4,5
plus-karaj,4, 5,5,5
alef_karaj,4, 4,2,4
lounge_karaj,4, 4,5,3
daryoush,2, 3,3,2
sedayat,0, 0,0,0
