,Food,Servic,Worth(Price),Design
sasan_hotel_shiraz,null,null,null,null
soofi_shiraz,null,null,null,null
almas_shiraz,0, 0,0,0
hajabasali_pesaran,1, 1,3,1
shin_shiraz,0, 0,0,0
savana_shiraz,null,null,null,null
banan_shiraz,null,null,null,null
screwchis,4, 4,4,4
bababastani-niyayesh,null,null,null,null
vital,null,null,null,null
khosha-shiraz,0, 0,0,0
haftkhan_shiraz,4, 4,4,4
joulep-shieaz,4, 1,3,2
caferoyal-shiraz,null,null,null,null
pansion_ketab,5, 5,4,5
cafeinn-shiraz,0, 0,0,0
street-lounge-shiraz,5, 3,5,3
ferdowsi-shiraz,0, 0,0,0
shahrekaghazi-shiraz,4, 4,4,4
yoga-shiraz,null,null,null,null
chill-shiraz,0, 0,0,0
cando-shiraz,0, 0,0,0
khanehonar-shiraz,0, 0,0,0
bahman-57,0, 0,0,0
nagashi,5, 5,5,5
hayat,null,null,null,null
geren,4, 4,4,4
mahooni,0, 0,0,0
patogh-ketab,null,null,null,null
memar,1, 3,1,1
hedayat-shiraz,2, 3,3,2
lobbylounge_shiraz,null,null,null,null
