,Food,Servic,Worth(Price),Design
roli_bastani,null,null,null,null
lalehzar_tabriz,null,null,null,null
saniz,null,null,null,null
mosbat_tabriz,null,null,null,null
asa_cafe,null,null,null,null
kolbeh_tabriz,null,null,null,null
sansevan_tabriz,null,null,null,null
geramaphone_tabriz,null,null,null,null
badas_tabriz,null,null,null,null
urbancafe-tabriz,0, 0,0,0
roz_tabriz,null,null,null,null
coffee-pedar,null,null,null,null
cafe_pizza,null,null,null,null
lounge-tabriz,null,null,null,null
paeez81,0, 0,0,0
emarat,4, 5,5,4
Amirchocolateplus,0, 0,0,0
13takeaway,0, 0,0,0
Rex,0, 0,0,0
