,Food,Servic,Worth(Price),Design
icecream-reza,3, 3,2,3
hessekhob,0, 0,0,0
lavan,31, 4,4,3
lalrservice,3, 3,4,3
container,4, 3,4,3
mahour2,2, 2,2,3
saya,4, 4,4,4
medico,null,null,null,null
vivacaffe,3, 3,4,3
bam,4, 3,4,3
linette,3, 3,4,5
melange,4, 4,4,4
arme,4, 4,4,4
coffehe-gisha,5, 4,4,5
ovan,4, 4,4,4
emaratshahkar,4, 3,4,3
vcafegholhak,5, 4,5,4
raees,3, 3,3,3
tiwan,4, 4,4,4
derakhtginko,4, 4,4,4
cake-studiousara,3, 4,4,3
babylon-bistro,4, 4,4,4
cavish,3, 3,4,3
shato,4, 4,4,4
setras,4, 4,4,4
russia,4, 4,4,4
papa-cafe,0, 0,0,0
hayatshomare65,4, 4,4,4
golha,4, 4,4,4
shade,4, 4,5,4
africa,4, 4,4,4
agor,4, 4,4,4
elsasaadatabad,4, 4,4,4
parchak-cheese-house,4, 4,4,4
sinama1,4, 4,4,3
viunacafe,5, 5,5,5
markof,4, 3,4,3
sinama,4, 4,4,4
labkhand1,1, 1,5,2
upartmaan,4, 3,4,4
baghmozemoghadam,3, 3,4,3
emaratrooberoo,3, 2,3,3
shahnameh,4, 4,3,3
exit,4, 4,4,4
loshaneh,5, 4,4,4
chaibarcafe,4, 4,4,3
lamizcafe,4, 4,4,4
amir,4, 4,4,3
armeniya,4, 4,4,4
matino,4, 3,3,3
